id,name,search_query,categories,address,city,country,rating,review_count,lat,lng,minutes_open_weekly,url,phone
ChIJuWrye87BeUgRw1MP_Uwo0yw,BLADES & SHADES,Barbers in bulwell,"barber_shop,hair_care,health,point_of_interest,service,establishment","BLADES & SHADES, 33 Highbury Rd, Nottingham, Nottinghamshire NG6 9DD, UK",,United Kingdom,4.8,17,52.9915747,-1.1867568,4380,http://blades-shades-barber.square.site/,07453 696106
ChIJ7_ZDMGTBeUgR1To75EuuRjc,Dani's Barbershop,Barbers in bulwell,"barber_shop,hair_care,health,point_of_interest,service,establishment","25 Watnall Rd., Hucknall, Nottingham NG15 7LD, UK",,United Kingdom,5,15,53.0366487,-1.2033391,3600,,07490 679064
ChIJMSjGzyzAeUgRedhW5u2Z24E,Gentlemen's Hairdressing,Barbers in bulwell,"barber_shop,hair_salon,hair_care,health,point_of_interest,service,establishment","270 Highbury Rd, Nottingham NG6 9FE, UK",,United Kingdom,4.8,145,52.9976625,-1.1932532,2370,,0115 837 0100
ChIJiXshDlrBeUgR0mIYOry0Jek,A1 Fade Studio,Barbers in bulwell,"barber_shop,hair_care,health,point_of_interest,service,establishment","353 Aspley Ln, Nottingham NG8 5GB, UK",,United Kingdom,5,11,52.970602199999995,-1.1981238,3600,,07568 145490
ChIJU1YsJMLBeUgRxk6UZ-kgA8M,Master barbers shop,Barbers in bulwell,"barber_shop,hair_care,health,point_of_interest,service,establishment","405 Nuthall Rd, Nottingham NG8 5DG, UK",,United Kingdom,4.6,109,52.977188999999996,-1.1906899,3840,,0115 648 3418
ChIJ4VZ0-CvAeUgRCddYOZw7xmE,HAIR,Barbers in bulwell,"hair_salon,barber_shop,hair_care,health,point_of_interest,service,establishment","1 Main St, Bulwell, Nottingham NG6 8FB, UK",,United Kingdom,4.7,128,53.0017138,-1.1957981,2220,,0115 979 7172
ChIJ9-etoafreUgRXxIHUmkwwPU,Broxtowe Lane Barber,Barbers in bulwell,"barber_shop,hair_care,health,point_of_interest,service,establishment","170 Broxtowe Ln, Nottingham NG8 5NG, UK",,United Kingdom,4.8,97,52.9795449,-1.2080089999999999,3600,,0115 648 7919
ChIJ7YpSO-nBeUgRYpRAkV9PEOE,Bladen Ferris Hair,Barbers in bulwell,"barber_shop,hair_care,health,point_of_interest,service,establishment","1 Main St, Bulwell, Nottingham NG6 8QW, UK",,United Kingdom,5,8,53.0017138,-1.1957981,2250,,07792 710122
ChIJD1GVd2vBeUgRMWFrt3gp2JI,The Saya Cuts,Barbers in bulwell,"barber_shop,hair_care,health,point_of_interest,service,establishment","243 Nottingham Rd, New Basford, Nottingham NG7 7DA, UK",,United Kingdom,5,21,52.9772089,-1.1674646,3780,,07535 675599
ChIJJUj0xSfBeUgRSuqACJMMf_w,Patricks Barbers,Barbers in bulwell,"barber_shop,hair_care,health,point_of_interest,service,establishment","First Floor, Cinderhill, 22A Broxtowe Ln, Nottingham NG8 5NP, UK",,United Kingdom,4.9,261,52.982000299999996,-1.1971698,3570,http://www.patricks-barbers.co.uk/,0115 978 5548
